votes,answers,views,question,tags,user,user_reputation,time_asked
430,10,744k,How do I format a floating number to a fixed width with the following requirements: Leading zero if n < 1 Add trailing decimal zero(s) to fill up fixed width Truncate decimal digits past fixed ...,python string numbers number-formatting,hobbes3,24.5k,"asked Jan 16, 2012 at 20:07"
430,12,412k,"I query a model: Members.objects.all() And it returns: Eric, Salesman, X-Shop Freddie, Manager, X2-Shop Teddy, Salesman, X2-Shop Sean, Manager, X2-Shop What I want is to know the best Django way ...",python django django-models,simplyharsh,33.1k,"asked Mar 10, 2009 at 10:10"
430,10,119k,"I'm using argparse in Python 2.7 for parsing input options. One of my options is a multiple choice. I want to make a list in its help text, e.g. from argparse import ArgumentParser parser = ...",python argparse,kennytm,487k,"asked Oct 4, 2010 at 8:40"
428,17,168k,"I am not sure why we need finally in try...except...finally statements. In my opinion, this code block try: run_code1() except TypeError: run_code2() other_code() is the same with this one ...",python exception-handling try-finally,RNA,134k,"asked Jul 18, 2012 at 23:44"
428,17,291k,"How can I get the Cartesian product (every possible combination of values) from a group of lists? Input: somelists = [ [1, 2, 3], ['a', 'b'], [4, 5] ] Desired output: [(1, 'a', 4), (1, '...",python list cartesian-product,ʞɔıu,44.7k,"asked Feb 10, 2009 at 19:54"
427,25,409k,"How can I pretty print a dictionary with depth of ~4 in Python? I tried pretty printing with pprint(), but it did not work: import pprint pp = pprint.PrettyPrinter(indent=4) pp.pprint(mydict) I ...",python dictionary,user248237,"asked Jul 12, 2010 at 14:32","asked Jul 12, 2010 at 14:32"
427,16,1.0m,"I want to completely remove Python 2.7 from my Mac OS X 10.6.4. I managed to remove the entry from the PATH variable by reverting my .bash_profile. But I also want to remove all directories, files, ...",python macos uninstallation python-2.7,Jan Deinhard,18.8k,"asked Sep 29, 2010 at 7:03"
426,4,528k,"I need to produce a screencast of an ipython session, and to avoid confusing viewers, I want to disable all warnings emitted by warnings.warn calls from different packages. Is there a way to configure ...",python warnings ipython,astrofrog,29k,"asked Jan 27, 2012 at 10:18"
426,10,1.7m,"How would you say does not equal? Like if hi == hi: print ""hi"" elif hi (does not equal) bye: print ""no hi"" Is there something equivalent to == that means ""not equal""?",python operators,Aj Entity,"4,653","asked Jun 16, 2012 at 3:19"
426,10,874k,"When I try to use a print statement in Python, it gives me this error: >>> print ""Hello, World!"" File ""<stdin>"", line 1 print ""Hello, World!"" ^ ...",python python-3.x,ncoghlan,37.3k,"asked Aug 22, 2014 at 10:58"
425,37,788k,"Like most Python developers, I typically keep a console window open with the Python interpreter running to test commands, dir() stuff, help() stuff, etc. Like any console, after a while the visible ...",python windows console,Soviut,82.7k,"asked Feb 5, 2009 at 21:19"
425,19,426k,"Is there a numpy-thonic way, e.g. function, to find the nearest value in an array? Example: np.find_nearest( array, value )",python search numpy,Fookatchu,"6,385","asked Apr 2, 2010 at 11:38"
425,11,505k,"What does np.random.seed do in the below code from a Scikit-Learn tutorial? I'm not very familiar with NumPy's random state generator stuff, so I'd really appreciate a layman's terms explanation of ...",python numpy,covariance,"5,883","asked Feb 1, 2014 at 5:28"
425,15,947k,I have a dataset category cat a cat b cat a I'd like to be able to return something like (showing unique values and frequency) category freq cat a 2 cat b 1,python pandas frequency,yoshiserry,17.2k,"asked Mar 13, 2014 at 21:34"
425,7,659k,What is the way to update a package using pip? those do not work: pip update pip upgrade I know this is a simple question but it is needed as it is not so easy to find (pip documentation doesn't pop ...,python pip,borgr,13.4k,"asked Nov 2, 2017 at 9:03"
424,15,525k,"Is the a short syntax for joining a list of lists into a single list( or iterator) in python? For example I have a list as follows and I want to iterate over a,b and c. x = [[""a"",""b""], [""c""]] The ...",python,Kozyarchuk,19.4k,"asked Apr 4, 2009 at 4:00"
424,19,248k,I've heard it said that multiline lambdas can't be added in Python because they would clash syntactically with the other syntax constructs in Python. I was thinking about this on the bus today and ...,python syntax lambda,Imagist,17.2k,"asked Aug 5, 2009 at 14:00"
424,16,551k,Do you know if there is a built-in function to build a dictionary from an arbitrary object? I'd like to do something like this: >>> class Foo: ... bar = 'hello' ... baz = 'world' ... ...,python dictionary attributes object metaprogramming,Julio César,11.6k,"asked Sep 14, 2008 at 18:00"
424,11,975k,"If I have a class... class MyClass: def method(arg): print(arg) ...which I use to create an object... my_object = MyClass() ...on which I call method(""foo"") like so... >>> ...",python python-3.x methods arguments self,Zero Piraeus,51k,"asked May 29, 2014 at 23:27"
423,14,367k,"I understand the concept of what timeit does but I am not sure how to implement it in my code. How can I compare two functions, say insertion_sort and tim_sort, with timeit?",python time timeit,Neemaximo,17.9k,"asked Nov 22, 2011 at 1:15"
423,13,1.0m,"In Python, how do I read in a binary file and loop over each byte of that file?",python file-io binary,Jesse Vogt,15.4k,"asked Jun 23, 2009 at 21:26"
422,18,477k,"Is there a way to find all Python PyPI packages that were installed with easy_install or pip? I mean, excluding everything that was/is installed with the distributions tools (in this case apt-get on ...",python pip easy-install pypi,Jürgen A. Erhard,"4,901","asked Jul 6, 2011 at 18:00"
422,7,845k,"I am getting a bit of headache just because a simple looking, easy statement is throwing some errors in my face. I have a json file called strings.json like this: ""strings"": [{""-name&...",python json,R.R.C.,"4,695","asked Nov 25, 2013 at 17:15"
422,4,285k,I'd like to call a function in python using a dictionary. Here is some code: d = dict(param='test') def f(param): print(param) f(d) This prints {'param': 'test'} but I'd like it to just print ...,python function dictionary parameters keyword,Dave Hillier,16.5k,"asked Dec 2, 2008 at 16:49"
422,6,427k,"I have the following code test = ""have it break."" selectiveEscape = ""Print percent % in sentence and not %s"" % test print(selectiveEscape) I would like to get the output: Print percent % in ...",python escaping python-2.7,jondykeman,"5,902","asked May 21, 2012 at 0:01"
422,9,254k,I used to use perl -c programfile to check the syntax of a Perl program and then exit without executing it. Is there an equivalent way to do this for a Python script?,python compilation syntax-checking,Eugene Yarmash,129k,"asked Nov 26, 2010 at 10:12"
421,8,531k,"How do I convert a string to a date object in python? The string would be: ""24052010"" (corresponding to the format: ""%d%m%Y"") I don't want a datetime.datetime object, but rather a datetime.date.",python date,elif,"4,777","asked May 10, 2010 at 15:22"
421,10,517k,"I would like to get the current time in Python and assign them into variables like year, month, day, hour, minute. How can this be done in Python 2.7?",python python-2.7 datetime time,guagay_wk,23.3k,"asked May 6, 2015 at 8:51"
420,11,760k,I have a Python program that uses YAML. I attempted to install it on a new server using pip install yaml and it returns the following: $ sudo pip install yaml Downloading/unpacking yaml Could not ...,python python-2.7 yaml pip pyyaml,harperville,"6,240","asked Jan 10, 2013 at 15:42"
420,7,1.3m,"Given a DataFrame with a column ""BoolCol"", we want to find the indexes of the DataFrame in which the values for ""BoolCol"" == True I currently have the iterating way to do it, which works perfectly: ...",python indexing pandas,I want badges,"5,004","asked Feb 15, 2014 at 16:18"
420,11,350k,"If you are creating a 1d array, you can implement it as a List, or else use the 'array' module in the standard library. I have always used Lists for 1d arrays. What is the reason or circumstance ...",python arrays list,Corey Goldberg,55.6k,"asked Oct 6, 2008 at 20:17"
419,3,315k,"I have this string: mystring = 'Here is some text I wrote ' How can I substitute the double, triple (...) whitespace chracters with a single space, so that I get: mystring = 'Here is ...",python substitution removing-whitespace,creativz,"9,559","asked Jan 16, 2010 at 15:43"
419,9,936k,"I'm currently trying to learn Numpy and Python. Given the following array: import numpy as np a = np.array([[1,2],[1,2]]) Is there a function that returns the dimensions of a (e.g.a is a 2 by 2 ...",python arrays numpy dimensions,morgan freeman,"5,901","asked Jun 17, 2010 at 12:55"
419,4,370k,"I have a command line script that I run with a lot of arguments. I have now come to a point where I have too many arguments, and I want to have some arguments in dictionary form too. So in order to ...",python parsing configuration yaml settings,c00kiemonster,20.5k,"asked Feb 20, 2011 at 3:25"
418,21,693k,I want to repeatedly execute a function in Python every 60 seconds forever (just like an NSTimer in Objective C or setTimeout in JS). This code will run as a daemon and is effectively like calling the ...,python timer,davidmytton,36.7k,"asked Jan 23, 2009 at 21:07"
418,9,143k,"What does the Python nonlocal statement do (in Python 3.0 and later)? There's no documentation on the official Python website and help(""nonlocal"") does not work, either.",python closures global python-nonlocal,ooboo,15k,"asked Aug 11, 2009 at 17:36"
418,3,248k,"I am trying to implement a ""Digit Recognition OCR"" in OpenCV-Python (cv2). It is just for learning purposes. I would like to learn both KNearest and SVM features in OpenCV. I have 100 samples (i.e. ...",python opencv numpy computer-vision ocr,Abid Rahman K,49.9k,"asked Feb 23, 2012 at 12:37"
417,26,2.0m,"I have a list of numbers such as [1,2,3,4,5...], and I want to calculate (1+2)/2 and for the second, (2+3)/2 and the third, (3+4)/2, and so on. How can I do that? I would like to sum the first number ...",python list sum,layo,"4,211","asked Dec 6, 2010 at 2:01"
416,11,390k,"I need to install a package from PyPi straight within my script. Maybe there's some module or distutils (distribute, pip etc.) feature which allows me to just execute something like pypi.install('...",python pip python-module pypi,chuwy,"5,538","asked Sep 8, 2012 at 17:33"
416,23,200k,"Is there a simple way to flatten a list of iterables with a list comprehension, or failing that, what would you all consider to be the best way to flatten a shallow list like this, balancing ...",python list-comprehension,"10 revs, 3 users 64%",Prairiedogg,Prairiedogg
416,13,263k,"How can I make a class or method abstract in Python? I tried redefining __new__() like so: class F: def __new__(cls): raise Exception(""Unable to create an instance of abstract class %s"" %...",python class inheritance abstract-class abstract,user1632861,"asked Nov 30, 2012 at 13:29","asked Nov 30, 2012 at 13:29"
415,11,406k,"I have a dataframe with over 200 columns. The issue is as they were generated the order is ['Q1.3','Q6.1','Q1.2','Q1.1',......] I need to sort the columns as follows: ['Q1.1','Q1.2','Q1.3',.....'Q6.1'...",python pandas dataframe,pythOnometrist,"5,601","asked Jun 16, 2012 at 21:05"
415,23,474k,"I want to iterate through the methods in a class, or handle class or instance objects differently based on the methods present. How do I get a list of class methods? Also see: How can I list the ...",python,Purrell,11.8k,"asked Dec 15, 2009 at 23:40"
415,15,432k,"What is the best way to strip all non alphanumeric characters from a string, using Python? The solutions presented in the PHP variant of this question will probably work with some minor adjustments, ...",python string non-alphanumeric,Mark van Lent,12.1k,"asked Aug 14, 2009 at 8:54"
415,15,305k,I am in the process of learning Python and I have reached the section about the pass statement. The guide I'm using defines it as being a null statement that is commonly used as a placeholder. I still ...,python,Capurnicus,"7,811","asked Dec 14, 2012 at 20:59"
415,4,343k,"How do I get the number of elements in a list in jinja2 template? For example, in Python: print(template.render(products=[???])) and in jinja2 <span>You have {{what goes here?}} products</...",python jinja2,flybywire,244k,"asked Sep 23, 2009 at 10:44"
415,10,482k,"I have this error: Traceback (most recent call last): File ""python_md5_cracker.py"", line 27, in <module> m.update(line) TypeError: Unicode-objects must be encoded before hashing when I try ...",python python-3.x unicode syntax-error hashlib,JohnnyFromBF,"8,970","asked Sep 28, 2011 at 15:04"
414,29,605k,"I want to convert JSON data into a Python object. I receive JSON data objects from the Facebook API, which I want to store in my database. My current View in Django (Python) (request.POST contains the ...",python json django,Sai Krishna,"6,887","asked Jul 5, 2011 at 7:01"
414,12,168k,"By default, the Requests python library writes log messages to the console, along the lines of: Starting new HTTP connection (1): example.com http://example.com:80 ""GET / HTTP/1.1"" 200 606 I'm ...",python logging python-requests verbosity,aknuds1,60.8k,"asked Jun 14, 2012 at 8:52"
414,12,768k,"Since Python's string can't be changed, I was wondering how to concatenate a string more efficiently? I can write like it: s += stringfromelsewhere or like this: s = [] s.append(somestring) # ...",python python-3.x string concatenation,Max,"7,597","asked Aug 29, 2012 at 1:46"
414,3,212k,"In Django doc, select_related() ""follows"" foreign-key relationships, selecting additional related-object data when it executes its query. prefetch_related() does a separate lookup for each ...",python django django-models django-orm,NeoWang,15.2k,"asked Jul 6, 2015 at 2:31"
413,6,400k,"Is there any simple way of generating (and checking) MD5 checksums of a list of files in Python? (I have a small program I'm working on, and I'd like to confirm the checksums of the files).",python md5 checksum hashlib,Alexander,"5,130","asked Aug 7, 2010 at 19:50"
413,12,344k,It seems they canceled in Python 3 all the easy way to quickly load a script by removing execfile() Is there an obvious alternative I'm missing?,python python-3.x,R S,10.4k,"asked Jan 12, 2009 at 17:23"
413,19,455k,I am trying to subtract one date value from the value of datetime.datetime.today() to calculate how long ago something was. But it complains: TypeError: can't subtract offset-naive and offset-aware ...,python datetime date timezone,mindthief,11.5k,"asked Dec 25, 2010 at 10:59"
412,15,668k,"I have a script named test1.py which is not in a module. It just has code that should execute when the script itself is run. There are no functions, classes, methods, etc. I have another script which ...",python,Josh Smeaton,45.7k,"asked Jul 27, 2009 at 6:52"
412,4,121k,Does Python support short-circuiting in boolean expressions?,python boolean-logic short-circuiting,Dinah,50.5k,"asked Apr 5, 2010 at 18:19"
411,14,698k,"I'm new to Python and Matplotlib, I would like to simply apply colormap to an image and write the resulting image, without using axes, labels, titles or anything usually automatically added by ...",python matplotlib,sunmat,"6,061","asked Feb 15, 2012 at 14:18"
411,20,473k,I'm calling a function in Python which I know may stall and force me to restart the script. How do I call the function or what do I wrap it in so that if it takes longer than 5 seconds the script ...,python multithreading timeout python-multithreading,Teifion,102k,"asked Jan 29, 2009 at 17:08"
411,15,620k,I'm trying to rename some files in a directory using Python. Say I have a file called CHEESE_CHEESE_TYPE.*** and want to remove CHEESE_ so my resulting filename would be CHEESE_TYPE I'm trying to ...,python file-io file-rename,Jeff,"4,121","asked May 3, 2010 at 15:17"
411,3,182k,I want to build a query for sunburnt(solr interface) using class inheritance and therefore adding key - value pairs together. The sunburnt interface takes keyword arguments. How can I transform a dict ...,python dictionary keyword-argument,teaforthecat,"4,341","asked Apr 19, 2011 at 0:46"
410,17,308k,"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the ...",python unit-testing testing python-unittest,Stephen Cagle,13.2k,"asked Nov 13, 2009 at 23:01"
410,12,372k,"I have checked all of the other questions with the same error yet found no helpful solution =/ I have a dictionary of lists: d = {'a': [1], 'b': [1, 2], 'c': [], 'd':[]} in which some of the values ...",python list dictionary loops,user1530318,21.7k,"asked Aug 13, 2012 at 20:30"
410,1,379k,"In a program I'm writing I have Python use the re.search() function to find matches in a block of text and print the results. However, the program exits once it finds the first match in the block of ...",python regex search,kjakeb,"5,766","asked Jan 15, 2011 at 3:53"
409,6,411k,I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely ...,python python-2.7 python-module,yowmamasita,"4,610","asked Apr 1, 2013 at 15:48"
409,9,327k,"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)...",python,priya,21.4k,"asked Jan 31, 2012 at 11:50"
409,7,176k,"What are the advantages and disadvantages of each? From what I've seen, either one can work as a replacement for the other if need be, so should I bother using both or should I stick to just one of ...",python arrays matrix numpy,levesque,"8,295","asked Nov 11, 2010 at 3:25"
408,10,528k,"I have a semilogx plot and I would like to remove the xticks. I tried: plt.gca().set_xticks([]) plt.xticks([]) ax.set_xticks([]) The grid disappears (ok), but small ticks (at the place of the main ...",python matplotlib plot,Vincent,53.1k,"asked Oct 21, 2012 at 13:53"
408,16,343k,"If I have a Python dictionary, how do I get the key to the entry which contains the minimum value? I was thinking about something to do with the min() function... Given the input: {320:1, 321:0, ...",python dictionary min minimum idioms,"9 revs, 6 users 57%",tjvr,tjvr
408,13,744k,"What's the easiest way to add an empty column to a pandas DataFrame object? The best I've stumbled upon is something like df['foo'] = df.apply(lambda _: '', axis=1) Is there a less perverse method?",python pandas,kjo,30k,"asked May 1, 2013 at 21:46"
408,5,359k,"What would be the best way to split a string on the first occurrence of a delimiter? For example: ""123mango abcd mango kiwi peach"" splitting on the first mango to get: ""abcd mango kiwi peach""",python split,Acorn,46.1k,"asked Aug 1, 2011 at 19:45"
408,11,631k,"I have some python code that splits on comma, but doesn't strip the whitespace: >>> string = ""blah, lots , of , spaces, here "" >>> mylist = string.split(',') >>> print ...",python whitespace strip,Mr_Chimp,"6,238","asked Nov 1, 2010 at 17:29"
408,13,417k,Is there any python module to convert PDF files into text? I tried one piece of code found in Activestate which uses pypdf but the text generated had no space between and was of no use.,python pdf text-extraction pdf-scraping,cnu,33.6k,"asked Aug 25, 2008 at 4:44"
407,4,564k,How can I convert a DataFrame column of strings (in dd/mm/yyyy format) to datetimes?,python pandas dataframe datetime-format python-datetime,perigee,"8,430","asked Jun 16, 2013 at 15:14"
406,10,776k,"On my local machine, I run a python script which contains this line bashCommand = ""cwm --rdf test.rdf --ntriples > test.nt"" os.system(bashCommand) This works fine. Then I run the same code on a ...",python bash,mkn,10.4k,"asked Nov 23, 2010 at 12:38"
406,13,421k,Right now I'm importing a fairly large CSV as a dataframe every time I run the script. Is there a good solution for keeping that dataframe constantly available in between runs so I don't have to spend ...,python pandas dataframe,jeffstern,"4,236","asked Jun 13, 2013 at 23:05"
405,6,115k,"Is there a way to have a defaultdict(defaultdict(int)) in order to make the following code work? for x in stuff: d[x.a][x.b] += x.c_int d needs to be built ad-hoc, depending on x.a and x.b ...",python collections,Jonathan Livni,91.4k,"asked Feb 17, 2011 at 14:04"
405,14,510k,"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this: x = 1.23456 print '%.3f' % x If I want to print the numpy.array of floats, it prints several ...",python numpy python-2.x pretty-print,camillio,"4,065","asked May 23, 2010 at 12:54"
404,10,833k,"In a matplotlib figure, how can I make the font size for the tick labels using ax1.set_xticklabels() smaller? Further, how can one rotate it from horizontal to vertical?",python matplotlib,Open the way,23.4k,"asked Jun 17, 2011 at 18:49"
404,9,381k,"I am creating a program that will download a .jar (java) file from a web server, by reading the URL that is specified in the .jad file of the same game/application. I'm using Python 3.2.1 I've ...",python python-3.x,Bo Milanovich,"7,379","asked Aug 30, 2011 at 13:16"
404,11,153k,"In C# there's a null-coalescing operator (written as ??) that allows for easy (short) null checking during assignment: string s = null; var other = s ?? ""some default value""; Is there a python ...",python null-coalescing-operator,Klaus Byskov Pedersen,110k,"asked Feb 12, 2011 at 15:04"
404,2,1.6m,"I have a list of tuples in Python, and I have a conditional where I want to take the branch ONLY if the tuple is not in the list (if it is in the list, then I don't want to take the if branch) if ...",python list conditional membership,Zack,12.2k,"asked May 2, 2012 at 0:16"
404,15,2.3m,"In comparison to Java (in a string), you would do something like ""First Line\r\nSecond Line"". So how would you do that in Python, for purposes of writing multiple lines to a regular file?",python line-breaks file-writing,FabianCook,19.4k,"asked Jul 16, 2012 at 2:14"
404,13,205k,I want to send a datetime.datetime object in serialized form from Python using JSON and de-serialize in JavaScript using JSON. What is the best way to do this?,javascript python json,kevin,"asked Jan 18, 2009 at 17:51","asked Jan 18, 2009 at 17:51"
404,14,525k,"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it. Here is my ...",python pandas,Akavall,74.5k,"asked Dec 1, 2014 at 20:00"
404,15,240k,"In Python, what is the difference between expressions and statements?",python expression,wassimans,"7,936","asked Jan 18, 2011 at 19:19"
403,31,672k,I have installed tensorflow in my ubuntu 16.04 using the second answer here with ubuntu's builtin apt cuda installation. Now my question is how can I test if tensorflow is really using gpu? I have a ...,python tensorflow ubuntu gpu,Tamim Addari,"6,891","asked Jun 24, 2016 at 9:14"
403,2,140k,I would like to get some feedback on these tools on: features; adaptability; ease of use and learning curve.,python pylint pep8 pyflakes pychecker,e-satis,544k,"asked Sep 15, 2009 at 18:24"
402,11,443k,How can I order by descending my query set in django by date? Reserved.objects.all().filter(client=client_id).order_by('check_in') I just want to filter from descending all the Reserved by check_in ...,python django sorting,gadss,19.8k,"asked Mar 23, 2012 at 4:05"
402,9,428k,I want to delete a particular record. Such as delete from table_name where id = 1; How can I do this in a django model?,python django django-models,user426795,"9,733","asked Sep 27, 2010 at 16:48"
402,6,299k,"In order to test some functionality I would like to create a DataFrame from a string. Let's say my test data looks like: TESTDATA=""""""col1;col2;col3 1;4.4;99 2;4.5;200 3;4.7;65 4;3.2;140 """""" What is ...",python string pandas csv csv-import,Emil H,18.1k,"asked Mar 24, 2014 at 8:43"
402,8,264k,"In Python, I've seen two variable values swapped using this syntax: left, right = right, left Is this considered the standard way to swap two variable values or is there some other means by which ...",python syntax swap conventions,WilliamKF,38.2k,"asked Feb 12, 2013 at 15:43"
402,13,139k,"I have seen many projects using simplejson module instead of json module from the Standard Library. Also, there are many different simplejson modules. Why would use these alternatives, instead of the ...",python json simplejson,lprsd,79.7k,"asked Apr 3, 2009 at 6:56"
399,15,725k,"Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing df_filtered = df[df['...",python pandas dataframe,duckworthd,13.7k,"asked Aug 8, 2012 at 17:25"
399,7,289k,"In Python for *nix, does time.sleep() block the thread or the process?",python multithreading time sleep python-internals,Jeremy Dunck,"5,454","asked Sep 18, 2008 at 14:16"
397,15,341k,"What is the difference between 'SAME' and 'VALID' padding in tf.nn.max_pool of tensorflow? In my opinion, 'VALID' means there will be no zero padding outside the edges when we do max pool. ...",python tensorflow deep-learning,karl_TUM,"5,399","asked Jun 7, 2016 at 8:32"
397,11,392k,"Is there a Pool class for worker threads, similar to the multiprocessing module's Pool class? I like for example the easy way to parallelize a map function def long_running_func(p): ...",python multithreading missing-features,Martin,11.8k,"asked Jun 13, 2010 at 21:17"
397,12,321k,"I have a timezone aware timestamptz field in PostgreSQL. When I pull data from the table, I then want to subtract the time right now so I can get it's age. The problem I'm having is that both ...",python postgresql datetime timezone,Ian,21.8k,"asked Apr 28, 2009 at 2:28"
397,15,1.2m,I can't figure out how to use an array or matrix in the way that I would normally use a list. I want to create an empty array (or matrix) and then add one column (or row) to it at a time. At the ...,python arrays numpy,Ben,62.7k,"asked Feb 20, 2009 at 9:58"
396,13,592k,"Unless I'm mistaken, creating a function in Python works like this: def my_func(param1, param2): # stuff However, you don't actually give the types of those parameters. Also, if I remember, ...",python function types parameters,Leif Andersen,20k,"asked Mar 22, 2010 at 2:17"
395,6,730k,"How can I sort this list in descending order? timestamps = [ ""2010-04-20 10:07:30"", ""2010-04-20 10:07:38"", ""2010-04-20 10:07:52"", ""2010-04-20 10:08:...",python sorting reverse,Rajeev,41.5k,"asked Nov 15, 2010 at 10:37"
395,13,267k,"I have a big dictionary object that has several key value pairs (about 16), but I am only interested in 3 of them. What is the best way (shortest/efficient/most elegant) to achieve that? The best I ...",python dictionary associative-array,Jayesh,48.7k,"asked Mar 18, 2011 at 13:21"
394,28,595k,"I would like to use the .replace function to replace multiple strings. I currently have string.replace(""condition1"", """") but would like to have something like string.replace(""condition1"", """")....",python text replace,CQM,39.1k,"asked May 24, 2011 at 21:15"
394,3,162k,"Two options in setup.py develop and install are confusing me. According to this site, using develop creates a special link to site-packages directory. People have suggested that I use python setup.py ...",python setuptools,Netro,"6,441","asked Sep 27, 2013 at 10:39"
393,7,441k,I want to know if it is possible to use the pandas to_csv() function to add a dataframe to an existing csv file. The csv file has the same structure as the loaded data.,python pandas csv dataframe,Ayoub Ennassiri,"4,065","asked Jul 8, 2013 at 15:33"
393,15,508k,"This is probably a trivial question, but how do I parallelize the following loop in python? # setup output lists output1 = list() output2 = list() output3 = list() for j in range(0, 10): # calc ...",python parallel-processing,memyself,10.8k,"asked Mar 20, 2012 at 11:42"
393,4,134k,"I recently discovered pytest. It seems great. However, I feel the documentation could be better. I'm trying to understand what conftest.py files are meant to be used for. In my (currently small) ...",python testing pytest,Aviv Cohn,13k,"asked Dec 25, 2015 at 20:08"
392,4,439k,How do you check if a path is a directory or file in python?,python,duhhunjonn,43.6k,"asked Jul 8, 2010 at 14:45"
392,3,283k,"I'm sure this is a trivial operation, but I can't figure out how it's done. There's got to be something smarter than this: ids = [1, 3, 6, 7, 9] for id in ids: MyModel.objects.filter(pk=id) I'...",python django django-queryset,ajwood,16.5k,"asked Feb 16, 2012 at 2:57"
391,27,641k,"I would like to install scipy-0.15.1-cp33-none-win_amd64.whl that I have saved to the local drive. I am using: pip 6.0.8 from C:\Python27\Lib\site-packages python 2.7.9 (default, Dec 10 2014, 12:28:03)...",python pip,lskrinjar,"4,891","asked Feb 17, 2015 at 18:05"
391,6,939k,"I want to run a Python script from another Python script. I want to pass variables like I would using the command line. For example, I would run my first script that would iterate through a list of ...",python,Gern Blanston,42k,"asked Sep 23, 2010 at 19:31"
391,4,480k,"If you read an entire file with content = open('Path/to/file', 'r').read() is the file handle left open until the script exits? Is there a more concise method to read a whole file?",python file-io filehandle,tMC,16.5k,"asked Sep 13, 2011 at 23:44"
391,7,186k,"In numpy, some of the operations return in shape (R, 1) but some return (R,). This will make matrix multiplication more tedious since explicit reshape is required. For example, given a matrix M, if we ...",python numpy matrix multidimensional-array,clwen,18.2k,"asked Feb 26, 2014 at 20:55"
391,3,103k,"import numpy as np y = np.array(((1,2,3),(4,5,6),(7,8,9))) OUTPUT: print(y.flatten()) [1 2 3 4 5 6 7 8 9] print(y.ravel()) [1 2 3 4 5 6 7 8 9] Both function return the ...",python numpy multidimensional-array flatten numpy-ndarray,cryptomanic,"5,526","asked Mar 8, 2015 at 18:49"
390,21,1.1m,I am trying to install PIL (the Python Imaging Library) using the command: sudo pip install pil but I get the following message: Downloading/unpacking PIL You are installing a potentially insecure ...,python macos python-2.7 installation python-imaging-library,user3006710,"3,937","asked Nov 18, 2013 at 23:22"
390,14,611k,"How do I convert a numpy.datetime64 object to a datetime.datetime (or Timestamp)? In the following code, I create a datetime, timestamp and datetime64 objects. import datetime import numpy as np ...",python datetime numpy pandas,Andy Hayden,320k,"asked Dec 4, 2012 at 13:08"
390,3,412k,"Suppose I have a dataframe with columns a, b and c, I want to sort the dataframe by column b in ascending order, and by column c in descending order, how do I do this?",python pandas python-2.7 sorting data-analysis,Rakesh Adhikesavan,10.1k,"asked Jun 17, 2013 at 6:28"
390,10,25k,Which image processing techniques could be used to implement an application that detects the Christmas trees displayed in the following images? I'm searching for solutions that are going to work ...,c++ python opencv image-processing computer-vision,karlphillip,89.4k,"asked Dec 25, 2013 at 12:40"
390,6,149k,What is the difference between Numpy's array() and asarray() functions? When should you use one rather than the other? They seem to generate identical output for all the inputs I can think of.,python arrays numpy,Benjamin Hodgson ♦,40k,"asked Jan 19, 2013 at 15:18"
389,13,810k,"How do I change the size of my image so it's suitable for printing? For example, I'd like to use to A4 paper, whose dimensions are 11.7 inches by 8.27 inches in landscape orientation.",python matplotlib seaborn figsize,Michael Grazebrook,"4,293","asked Jul 23, 2015 at 17:43"
389,17,669k,"Let’s say I have a NumPy array, a: a = np.array([ [1, 2, 3], [2, 3, 4] ]) And I would like to add a column of zeros to get an array, b: b = np.array([ [1, 2, 3, 0], [2, 3, 4, 0] ...",python numpy,Peter Smit,25.7k,"asked Dec 13, 2011 at 8:36"
389,8,358k,With linq I would var top5 = array.Take(5); How to do this with Python?,python list generator,Jader Dias,83.9k,"asked Mar 8, 2011 at 14:53"
389,4,70k,"Suppose I have the following argparse snippet: diags.cmdln_parser.add_argument( '--scan-time', action = 'store', nargs = '?', type ...",python argparse,JS.,12.7k,"asked Aug 28, 2012 at 0:25"
389,5,331k,"I'm learning to use matplotlib by studying examples, and a lot of examples seem to include a line like the following before creating a single plot... fig, ax = plt.subplots() Here are some examples.....",python matplotlib plot visualization,neelshiv,"5,305","asked Dec 8, 2015 at 17:39"
388,14,306k,How do I get the probability of a string being similar to another string in Python? I want to get a decimal value like 0.9 (meaning 90%) etc. Preferably with standard Python and library. e.g. ...,python probability similarity metric,tenstar,"8,616","asked Jun 30, 2013 at 7:35"
388,14,692k,"I see a lot on converting a date string to an datetime object in Python, but I want to go the other way. I've got datetime.datetime(2012, 2, 23, 0, 0) and I would like to convert it to string like '...",python datetime,wilbev,"4,501","asked May 16, 2012 at 19:00"
